benchmark_episode,benchmark_episode_total,global_episode_id,scenario_id,scenario_code,scenario_name,outcome,duration_seconds,mission_success,collisions,completed_parcel_tasks,total_parcel_tasks,battery_level,final_task_stage
1,1,52,6,"E1","Destination Station Capacity Full","SUCCESS",25.515,True,0,1,1,98.96,"Complete"
1,1,54,6,"E1","Destination Station Capacity Full","SUCCESS",25.783,True,0,1,1,98.95,"Complete"
1,1,56,8,"E3","Wrong Barcode Parcel at Pickup Station","BARCODE_MISMATCH",2.335,False,0,0,1,99.95,"Complete"
1,1,57,8,"E3","Wrong Barcode Parcel at Pickup Station","BARCODE_MISMATCH",2.355,False,0,0,1,99.95,"Complete"
1,1,58,9,"E4","Two-Destination Delivery With Temporary Station Unavailability","SUCCESS",75.287,True,0,2,2,97.10,"Complete"
1,1,59,10,"E5","Three-Destination Dynamic Order Fulfilment","COLLISION_FORKLIFT",40.335,False,1,0,3,98.43,"Complete"
1,1,60,15,"T5","Concurrent Multi-State Twin Divergence","SUCCESS",22.405,True,0,1,1,99.15,"Complete"
1,1,61,6,"E1","Destination Station Capacity Full","SUCCESS",25.988,True,0,1,1,98.95,"Complete"
1,1,65,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.518,False,1,0,3,98.16,"Complete"
1,15,66,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.451,False,1,0,3,98.16,"Complete"
1,1,68,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.447,False,1,0,3,98.16,"Complete"
1,1,70,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.564,False,1,0,3,98.16,"Complete"
1,1,71,3,"A3","Drop-Off Approach Blocked","COLLISION_FORKLIFT",17.499,False,1,0,3,99.33,"Complete"
1,1,73,1,"A1","Books-Rack Blind-Turn Collision","COLLISION_HUMAN",43.463,False,1,0,3,98.16,"Complete"
1,1,74,2,"A2","Dynamic Path Obstruction After Route Commitment","COLLISION_FORKLIFT",30.936,False,1,0,3,98.77,"Complete"
